500,60935,121.87
1000,248717,248.72
1500,557486,371.66
2000,997364,498.68
2500,1581677,632.67
3000,2228907,742.97
3500,3072762,877.93
4000,4049623,1012.41
4500,5082949,1129.54
5000,6292019,1258.40
5500,7657506,1392.27
6000,9104173,1517.36
6500,10683618,1643.63
7000,12373253,1767.61
7500,14112634,1881.68
8000,16136111,2017.01
8500,18383718,2162.79
9000,20639660,2293.30
